,,Country of Residence (COR)-Based 2011 Monthly/Quarterly I-94 Arrivals Data (F),,,,,,,,,,,,,,,,
2018 Rank,I-94 Arrivals based on Country of Residence (COR),Jan-11,Feb-11,Mar-11,Q1-11,Apr-11,May-11,Jun-11,Q2-11,Jul-11,Aug-11,Sep-11,Q3-11,Oct-11,Nov-11,Dec-11,Q4-11,
,"TOTAL INTERNATIONAL (Overseas, Mexico, and Canada) ","4,319,083","3,905,579","4,782,144","13,006,806","5,587,811","5,277,963","4,946,939","15,812,713","6,862,072","6,798,516","5,447,584","19,108,172","5,392,345","4,946,829","5,210,551","15,549,725",
,,,,,,,,,,,,,,,,,,
,TOTAL OVERSEAS ,"1,893,399","1,708,976","1,957,736","5,560,111","2,412,421","2,330,641","2,519,947","7,263,009","3,048,952","2,970,543","2,638,705","8,658,200","2,606,785","2,062,087","2,389,439","7,058,311",
1,Total Canada (Source: Stats Canada) ,"1,397,167","1,277,920","1,961,104","4,636,191","1,948,784","1,865,709","1,452,389","5,266,882","2,375,902","2,779,960","1,775,065","6,930,927","1,621,699","1,552,405","1,328,657","4,502,761",
,Canada Air (Source: Stats Canada),"677,145","642,737","824,828","2,144,710","764,494","631,495","477,690","1,873,679","537,413","602,222","531,546","1,671,181","593,528","606,298","582,507","1,782,333",
2,Total Mexico (Source: Banco de Mexico) ,"1,028,517","918,683","863,304","2,810,504","1,226,606","1,081,613","974,603","3,282,822","1,437,218","1,048,013","1,033,814","3,519,045","1,163,861","1,332,337","1,492,455","3,988,653",
,Mexico Air (Source: I-94),na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,
,,,,,,,,,,,,,,,,,,
,9 Major World Regions,,,,,,,,,,,,,,,,,
,Western Europe ,"613,232","695,928","844,651","2,153,811","1,220,684","1,020,951","1,081,592","3,323,227","1,355,789","1,304,264","1,149,498","3,809,551","1,226,659","823,594","908,699","2,958,952",
,Asia ,"646,558","532,565","540,041","1,719,164","485,921","608,626","638,262","1,732,809","760,723","843,610","684,918","2,289,251","603,579","549,051","596,578","1,749,208",
,South America ,"291,258","227,972","262,171","781,401","297,635","291,924","307,842","897,401","378,001","316,934","345,144","1,040,079","359,181","312,555","411,365","1,083,101",
,Caribbean ,"60,834","52,818","65,869","179,521","90,781","79,260","91,729","261,770","148,925","131,353","81,416","361,694","85,978","91,897","115,418","293,293",
,Oceania ,"86,396","63,081","77,075","226,552","111,055","122,037","128,597","361,689","119,796","115,193","143,509","378,498","102,419","80,505","114,811","297,735",
,Central America ,"53,748","44,042","48,480","146,270","61,111","56,001","70,032","187,144","72,627","52,510","63,021","188,158","67,495","75,377","90,806","233,678",
,Middle East ,"68,475","38,914","48,765","156,154","63,198","62,821","96,235","222,254","103,291","100,335","80,492","284,118","74,950","55,670","59,062","189,682",
,Eastern Europe ,"50,010","37,852","50,081","137,943","56,334","57,087","72,707","186,128","69,859","63,352","60,136","193,347","59,923","51,783","59,119","170,825",
,Africa ,"22,888","15,804","20,603","59,295","25,702","31,934","32,951","90,587","39,941","42,992","30,571","113,504","26,601","21,655","33,581","81,837",
,,,,,,,,,,,,,,,,,,
,TOP 50 Overseas Countries,,,,,,,,,,,,,,,,,
3,United Kingdom,"197,730","240,874","271,845","710,449","411,838","350,482","322,413","1,084,733","370,672","390,415","390,288","1,151,375","400,714","267,161","290,763","958,638",
4,Japan,"277,359","292,491","289,809","859,659","200,007","212,435","239,320","651,762","295,452","370,786","320,128","986,366","282,003","271,272","277,952","831,227",
5,"China, PRC","103,137","63,619","56,951","223,707","63,664","88,889","85,309","237,862","139,478","154,686","113,528","407,692","90,206","73,684","79,136","243,026",
6,South Korea,"125,025","83,156","74,906","283,087","74,273","100,492","109,639","284,404","137,088","129,505","95,192","361,785","93,323","86,739","101,859","281,921",
7,Brazil,"146,823","86,383","113,427","346,633","113,377","112,210","113,117","338,704","154,197","107,567","134,218","395,982","146,096","120,007","171,587","437,690",
8,Germany,"88,670","92,180","135,425","316,275","175,213","166,945","178,532","520,690","176,882","204,262","202,170","583,314","206,070","123,835","123,935","453,840",
9,France,"73,338","97,109","95,702","266,149","168,938","127,137","124,878","420,953","208,258","188,344","121,976","518,578","147,936","89,363","108,048","345,347",
10,India,"53,317","35,594","44,787","133,698","62,136","90,646","84,210","236,992","70,021","71,827","56,106","197,954","46,792","40,330","40,341","127,463",
11,Australia,"72,569","53,440","65,432","191,441","93,730","102,046","106,194","301,970","91,145","93,081","123,802","308,028","84,156","67,411","99,474","251,041",
12,Italy,"50,546","39,313","61,135","150,994","64,696","64,833","79,361","208,890","107,013","160,597","69,870","337,480","65,970","61,632","82,782","210,384",
13,Argentina,"43,232","43,447","36,789","123,468","43,604","48,124","37,589","129,317","51,634","41,199","52,144","144,977","46,249","35,080","38,959","120,288",
14,Colombia,"30,577","21,549","29,303","81,429","43,801","35,039","65,790","144,630","54,674","36,304","36,587","127,565","48,748","42,117","60,356","151,221",
15,Spain,"33,990","33,859","47,215","115,064","64,409","47,498","67,388","179,295","87,924","98,560","65,031","251,515","59,853","44,987","61,268","166,108",
