,,Country of Residence (COR)-Based 2012 Monthly/Quarterly I-94 Arrivals Data (F),,,,,,,,,,,,,,,,,Percent Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018 Rank,I-94 Arrivals based on Country of Residence (COR),Jan-12,Feb-12,Mar-12,Q1-12,Apr-12,May-12,Jun-12,Q2-12,Jul-12,Aug-12,Sep-12,Q3-12,Oct-12,Nov-12,Dec-12,Q4-12,,Jan-12,Feb-12,Mar-12,Q1-12,Apr-12,May-12,Jun-12,Q2-12,Jul-12,Aug-12,Sep-12,Q3-12,Oct-12,Nov-12,Dec-12,Q4-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"TOTAL INTERNATIONAL (Overseas, Mexico, and Canada) ","4,728,134","4,155,850","5,328,829","14,212,813","5,726,778","5,341,254","5,196,669","16,264,701","6,806,745","7,355,431","5,817,050","19,979,226","5,583,375","5,267,717","5,659,065","16,510,157",,9.5%,6.4%,11.4%,9.3%,2.5%,1.2%,5.0%,2.9%,-0.8%,8.2%,6.8%,4.6%,3.5%,6.5%,8.6%,6.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL OVERSEAS ,"2,011,301","1,849,173","2,316,220","6,176,694","2,418,896","2,515,891","2,675,686","7,610,473","2,848,099","3,174,510","2,816,039","8,838,648","2,637,693","2,209,009","2,598,391","7,445,093",,6.2%,8.2%,18.3%,11.1%,0.3%,7.9%,6.2%,4.8%,-6.6%,6.9%,6.7%,2.1%,1.2%,7.1%,8.7%,5.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Total Canada (Source: Stats Canada) ,"1,526,486","1,388,476","2,084,173","4,999,135","2,011,755","1,814,170","1,582,659","5,408,584","2,524,311","2,944,883","1,942,212","7,411,406","1,720,814","1,649,867","1,507,539","4,878,220",,9.3%,8.7%,6.3%,7.8%,3.2%,-2.8%,9.0%,2.7%,6.2%,5.9%,9.4%,6.9%,6.1%,6.3%,13.5%,8.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Canada Air (Source: Stats Canada) ,"727,967","707,515","869,034","2,304,516","779,547","616,810","485,058","1,881,415","532,473","603,596","527,193","1,663,262","609,815","618,667","613,745","1,842,227",,7.5%,10.1%,5.4%,7.5%,2.0%,-2.3%,1.5%,4.1%,-0.9%,0.2%,-0.8%,-0.5%,2.7%,2.0%,5.4%,3.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Total Mexico (Source: Banco de Mexico) ,"1,190,347","918,201","928,436","3,036,984","1,296,127","1,011,193","938,324","3,245,644","1,434,335","1,236,038","1,058,799","3,729,172","1,224,868","1,408,841","1,553,135","4,186,844",,15.7%,-0.1%,7.5%,8.1%,5.7%,-6.5%,-3.7%,-1.1%,-0.2%,17.9%,2.4%,6.0%,5.2%,5.7%,4.1%,5.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mexico Air (Source: I-94),"113,791","124,638","166,394","404,823","183,319","157,020","152,469","492,808","220,200","186,069","175,402","581,671","181,583","192,356","275,544","649,483",,8.1%,14.5%,30.7%,na,-3.9%,9.4%,0.2%,na,-15.2%,12.9%,6.0%,na,12.3%,18.0%,13.3%,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9 Major World Regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
