,,Country of Residence (COR)-Based 2013 Monthly/Quarterly I-94 Arrivals Data (F),,,,,,,,,,,,,,,,,Percent Change,,,,,,,,,,,,,,,,,
2018 Rank,I-94 Arrivals based on Country of Residence (COR),Jan-13,Feb-13,Mar-13,Q1-13,Apr-13,May-13,Jun-13,Q2-13,Jul-13,Aug-13,Sep-13,Q3-13,Oct-13,Nov-13,Dec-13,Q4-13,,Jan-13,Feb-13,Mar-13,Q1-13,Apr-13,May-13,Jun-13,Q2-13,Jul-13,Aug-13,Sep-13,Q3-13,Oct-13,Nov-13,Dec-13,Q4-13,,
,"TOTAL INTERNATIONAL (Overseas, Mexico, and Canada)","4,967,028","4,478,353","5,980,801","15,426,182","5,729,720","5,800,889","5,637,609","17,168,218","7,166,098","7,992,152","6,176,016","21,334,266","6,053,988","5,532,024","6,128,229","17,714,241",,5.1%,7.8%,12.2%,8.5%,0.1%,8.6%,8.5%,5.6%,5.3%,8.7%,6.2%,6.8%,8.4%,5.0%,8.3%,7.3%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL OVERSEAS ,"2,233,045","2,067,352","2,679,385","6,979,782","2,541,707","2,835,386","2,952,528","8,329,621","3,392,312","3,545,665","3,042,320","9,980,297","2,979,653","2,465,358","2,953,966","8,398,977",,11.0%,11.8%,15.7%,13.0%,5.1%,12.7%,10.3%,9.4%,19.1%,11.7%,8.0%,12.9%,13.0%,11.6%,13.7%,12.8%,,
1,Total Canada (Source: Stats Canada) ,"1,578,899","1,490,862","2,318,442","5,388,203","2,021,386","1,947,543","1,682,737","5,651,666","2,463,891","3,016,027","1,915,969","7,395,887","1,739,569","1,634,494","1,597,174","4,971,237",,3.4%,7.4%,11.2%,7.8%,0.5%,7.4%,6.3%,4.5%,-2.4%,2.4%,-1.4%,-0.2%,1.1%,-0.9%,5.9%,1.9%,,
,Canada Air (Source: Stats Canada) ,"740,666","723,981","904,055","2,368,702","826,327","655,019","510,805","1,992,151","559,986","637,004","555,908","1,752,898","631,032","660,482","651,828","1,943,342",,1.7%,2.3%,4.0%,2.8%,6.0%,6.2%,5.3%,5.9%,5.2%,5.5%,5.4%,5.4%,3.5%,6.8%,6.2%,5.5%,,
2,Total Mexico (Source: Banco de Mexico) ,"1,155,084","920,139","982,974","3,058,197","1,166,627","1,017,960","1,002,344","3,186,931","1,309,895","1,430,460","1,217,727","3,958,082","1,334,766","1,432,172","1,577,089","4,344,027",,-3.0%,0.2%,5.9%,0.7%,-10.0%,0.7%,6.8%,-1.8%,-8.7%,15.7%,15.0%,6.1%,9.0%,1.7%,1.5%,3.8%,,
,Mexico Air (Source: I-94),"141,645","134,340","222,674","498,659","164,536","183,342","183,931","531,809","299,317","205,507","199,466","704,290","631,032","210,264","301,642","1,142,938",,24.5%,7.8%,33.8%,23.2%,-10.2%,16.8%,20.6%,7.9%,35.9%,10.4%,13.7%,21.1%,247.5%,9.3%,9.5%,76.0%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9 Major World Regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Western Europe ,"635,427","730,675","1,088,340","2,454,442","1,084,580","1,087,154","1,088,567","3,260,301","1,347,787","1,327,076","1,163,843","3,838,706","1,248,670","874,730","991,275","3,114,675",,6.0%,0.2%,9.6%,5.7%,1.1%,6.4%,4.3%,3.9%,5.3%,5.1%,3.7%,4.7%,11.2%,9.6%,12.1%,11.0%,,
,Asia ,"759,229","665,270","733,078","2,157,577","649,402","801,879","847,101","2,298,382","952,096","1,085,018","854,735","2,891,849","739,115","657,028","772,327","2,168,470",,6.5%,20.2%,13.1%,12.7%,7.4%,12.7%,14.5%,11.8%,23.6%,12.4%,10.3%,15.2%,9.0%,7.5%,10.8%,9.2%,,
,South America ,"421,483","353,798","423,149","1,198,430","373,471","434,800","425,625","1,233,896","483,014","436,720","455,245","1,374,979","478,242","457,529","587,353","1,523,124",,26.1%,22.6%,34.4%,27.8%,12.6%,27.0%,22.6%,20.9%,40.3%,15.9%,13.4%,22.5%,18.2%,15.8%,17.7%,17.3%,,
,Caribbean ,"65,289","67,087","91,840","224,216","79,794","95,507","99,962","275,263","152,952","157,591","89,395","399,938","98,020","106,958","130,600","335,578",,13.4%,14.4%,25.4%,18.3%,-7.9%,8.0%,3.7%,1.4%,38.6%,13.0%,2.9%,18.8%,18.4%,8.5%,10.5%,12.0%,,
,Oceania ,"103,822","79,119","104,019","286,960","122,968","145,254","160,087","428,309","147,680","153,698","187,729","489,107","124,847","102,499","140,650","367,996",,17.4%,18.4%,16.5%,17.3%,16.6%,22.3%,19.1%,19.4%,22.6%,24.1%,12.1%,18.8%,14.2%,18.2%,12.3%,14.5%,,
,Central America ,"64,047","53,315","66,071","183,433","56,788","68,113","73,785","198,686","74,482","67,078","68,450","210,010","75,480","95,623","119,087","290,190",,10.2%,6.3%,18.9%,12.0%,-2.1%,9.8%,-1.5%,1.9%,24.9%,12.4%,2.0%,12.7%,10.2%,15.1%,20.5%,15.9%,,
,Middle East ,"95,046","49,796","79,984","224,826","68,488","86,588","119,700","274,776","99,110","168,329","101,929","369,368","97,396","66,652","77,319","241,367",,13.4%,13.3%,25.7%,17.4%,5.9%,13.3%,-3.0%,3.9%,38.4%,31.8%,7.1%,25.4%,20.8%,23.7%,13.1%,19.0%,,
,Eastern Europe ,"62,014","49,156","63,536","174,706","74,671","73,913","93,188","241,772","82,714","84,362","77,023","244,099","81,042","73,205","88,329","242,576",,16.5%,20.4%,16.2%,17.5%,17.0%,22.1%,19.5%,19.5%,49.8%,24.5%,18.5%,29.9%,28.9%,27.9%,30.4%,29.1%,,
,Africa ,"26,688","19,136","29,368","75,192","31,545","42,178","44,513","118,236","52,477","65,793","43,971","162,241","36,841","31,134","47,026","115,001",,16.2%,8.7%,22.8%,16.6%,1.1%,22.0%,18.0%,14.2%,42.9%,29.7%,23.3%,31.8%,31.6%,24.4%,19.0%,24.3%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOP 50 Overseas Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,United Kingdom,"198,407","241,356","366,338","806,101","322,886","357,072","333,383","1,013,341","385,504","419,239","380,564","1,185,307","413,592","290,608","308,260","1,012,460",,6.9%,0.9%,7.1%,5.1%,1.9%,6.6%,1.4%,3.4%,9.3%,6.2%,-1.7%,4.5%,8.9%,10.6%,9.5%,9.6%,5.6%,
4,Japan,"295,044","327,932","380,883","1,003,859","259,288","268,612","293,758","821,658","332,447","426,353","353,495","1,112,295","326,614","292,424","330,478","949,516",,5.4%,8.8%,9.3%,7.9%,2.4%,2.6%,2.4%,2.5%,1.6%,0.2%,1.0%,0.9%,3.0%,-2.5%,3.3%,1.4%,3.1%,
5,"China, PRC","173,113","122,672","103,531","399,316","113,835","150,344","155,402","419,581","234,125","267,949","184,267","686,341","125,841","110,389","130,565","366,795",,7.0%,85.8%,23.0%,28.0%,13.3%,27.4%,28.2%,23.5%,53.4%,26.6%,21.9%,33.2%,12.6%,26.8%,31.0%,22.9%,27.7%,
6,South Korea,"135,766","91,720","92,551","320,037","94,652","120,355","131,007","346,014","151,207","143,227","123,909","418,343","117,240","108,660","127,630","353,530",,10.0%,0.4%,9.4%,6.9%,7.2%,15.3%,12.3%,11.9%,16.1%,8.7%,20.0%,14.5%,12.3%,9.6%,8.5%,10.1%,11.0%,
7,Brazil,"207,943","138,919","152,907","499,769","158,270","183,045","151,273","492,588","185,620","155,864","169,284","510,768","183,617","179,783","241,832","605,232",,20.3%,12.8%,28.9%,20.5%,16.1%,32.9%,18.3%,22.6%,29.8%,21.2%,10.1%,20.1%,12.7%,12.9%,15.8%,14.0%,18.9%,
8,Germany,"97,466","109,111","190,764","397,341","158,087","200,195","162,516","520,798","185,362","219,170","218,008","622,540","210,112","131,963","138,843","480,918",,3.9%,3.4%,9.0%,6.2%,0.8%,6.6%,2.3%,3.5%,3.3%,5.8%,4.6%,4.6%,10.0%,11.8%,7.1%,9.6%,5.8%,
9,France,"72,549","91,468","112,856","276,873","179,034","140,475","120,231","439,740","199,600","192,745","124,377","516,722","156,913","93,090","117,963","367,966",,5.5%,-8.9%,14.6%,3.4%,-0.0%,9.4%,2.2%,3.5%,6.8%,8.1%,7.7%,7.5%,28.0%,5.1%,17.8%,18.2%,7.9%,
10,India,"59,790","44,335","58,214","162,339","75,110","124,916","112,074","312,100","93,968","97,633","72,106","263,707","57,621","50,826","59,241","167,688",,11.8%,16.4%,17.9%,15.2%,11.7%,17.4%,27.4%,19.3%,48.4%,31.2%,10.3%,29.8%,12.7%,18.8%,22.6%,17.9%,21.1%,
11,Australia,"89,753","67,968","90,514","248,235","101,453","121,921","133,355","356,729","113,016","123,691","155,032","391,739","102,373","87,449","121,057","310,879",,17.2%,17.6%,15.5%,16.7%,14.5%,21.0%,21.3%,19.2%,16.6%,21.2%,7.8%,14.3%,10.6%,16.4%,11.0%,12.3%,15.6%,
12,Italy,"50,221","44,043","61,588","155,852","70,288","61,045","80,460","211,793","94,002","134,375","70,935","299,312","70,707","62,067","85,849","218,623",,5.0%,4.7%,4.6%,4.7%,7.5%,2.2%,6.5%,5.5%,-2.9%,-3.6%,6.8%,-1.1%,16.1%,9.5%,15.8%,14.0%,4.9%,
13,Argentina,"66,829","57,883","72,302","197,014","54,195","58,966","56,810","169,971","67,013","51,458","64,705","183,176","55,496","46,361","59,101","160,958",,28.8%,16.9%,45.2%,30.3%,0.8%,5.9%,23.8%,9.4%,38.4%,1.4%,2.9%,13.0%,9.8%,13.8%,20.9%,14.8%,16.8%,
14,Colombia,"45,772","35,506","63,640","144,918","45,380","57,506","95,001","197,887","72,609","61,169","57,939","191,717","74,258","72,875","108,239","255,372",,43.4%,37.3%,44.0%,42.1%,8.5%,33.3%,25.9%,23.4%,52.5%,31.9%,25.6%,36.8%,25.7%,31.1%,33.7%,30.6%,32.1%,
15,Spain,"34,238","33,861","58,197","126,296","50,304","46,902","59,745","156,951","69,168","84,457","59,969","213,594","55,370","49,607","55,329","160,306",,8.2%,5.0%,12.0%,9.0%,-2.9%,6.6%,2.3%,1.8%,-2.6%,3.1%,11.5%,3.3%,13.0%,10.2%,11.0%,11.4%,5.9%,
16,Netherlands,"31,337","35,155","39,841","106,333","64,293","58,866","51,796","174,955","92,944","53,553","57,865","204,362","61,125","40,692","42,937","144,754",,0.1%,-3.7%,1.3%,-0.7%,11.1%,4.2%,4.9%,6.8%,2.2%,1.1%,3.3%,2.2%,4.0%,3.5%,6.6%,4.6%,3.5%,
17,Ireland,"19,041","21,066","36,480","76,587","26,296","30,223","45,941","102,460","34,753","31,911","36,149","102,813","36,861","33,759","29,501","100,121",,19.5%,2.8%,20.6%,14.9%,6.6%,15.2%,25.1%,17.0%,8.0%,12.8%,16.9%,12.5%,14.7%,4.6%,18.2%,12.0%,14.0%,
18,Sweden,"28,212","31,967","46,595","106,774","43,379","36,712","54,058","134,149","39,797","29,381","37,078","106,256","55,407","35,662","55,097","146,166",,8.6%,0.1%,19.8%,10.3%,-6.9%,4.3%,13.8%,3.7%,16.4%,14.0%,11.1%,13.8%,12.1%,13.0%,21.3%,15.7%,10.7%,
