,,Country of Residence (COR)-Based 2015 Monthly/Quarterly I-94 Arrivals Data (F),,,,,,,,,,,,,,,,,Percent Change,,,,,,,,,,,,,,,,,,,,,
2018 Rank,I-94 Arrivals based on Country of Residence (COR),Jan-15,Feb-15,Mar-15,Q1-15,Apr-15,May-15,Jun-15,Q2-15,Jul-15,Aug-15,Sep-15,Q3-15,Oct-15,Nov-15,Dec-15,Q4-15,,Jan-15,Feb-15,Mar-15,Q1-15,Apr-15,May-15,Jun-15,Q2-15,Jul-15,Aug-15,Sep-15,Q3-15,Oct-15,Nov-15,Dec-15,Q4-15,,,,,,
,"TOTAL INTERNATIONAL (Overseas, Mexico, and Canada) *","5,528,348","4,893,897","6,176,981","16,599,226","6,513,761","6,865,244","6,213,956","19,592,961","7,861,626","8,166,951","6,534,393","22,562,970","6,610,185","6,061,547","6,346,637","19,018,369",,2.4%,5.0%,4.8%,4.0%,0.2%,7.8%,3.5%,3.8%,5.8%,-3.0%,4.4%,2.1%,4.2%,4.0%,1.2%,3.1%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL OVERSEAS ,"2,493,814","2,287,648","2,841,083","7,622,545","3,063,704","3,481,788","3,324,186","9,869,678","4,107,731","3,992,804","3,577,291","11,677,826","3,520,628","2,842,308","3,167,165","9,530,101",,2.8%,10.5%,13.7%,9.0%,1.3%,15.0%,9.5%,8.6%,13.6%,6.0%,12.3%,10.5%,12.8%,12.2%,5.8%,10.2%,,,,,,
1,Total Canada (Source: Stats Canada) ,"1,566,951","1,419,546","2,077,148","5,063,645","1,921,658","1,834,424","1,485,644","5,241,726","2,165,295","2,478,003","1,595,420","6,238,718","1,464,844","1,426,837","1,263,382","4,155,063",,-1.1%,-3.5%,-5.7%,-3.7%,-6.3%,-5.9%,-13.9%,-8.4%,-7.2%,-18.1%,-11.6%,-12.9%,-14.3%,-14.1%,-15.5%,-14.6%,,,,,,
,Canada Air (Source: Stats Canada) ,"796,276","773,673","925,059","2,495,008","828,793","650,477","488,798","1,968,068","539,019","601,190","524,946","1,665,155","594,819","645,347","599,868","1,840,034",,5.3%,1.2%,-1.0%,1.6%,2.0%,-6.2%,-7.7%,-3.3%,-2.6%,-7.2%,-6.7%,-5.6%,-8.5%,-4.4%,-9.7%,-7.5%,,,,,,
2,Total Mexico (Source: Banco de Mexico),"1,467,583","1,186,703","1,258,750","3,913,036","1,528,399","1,549,032","1,404,126","4,481,557","1,588,600","1,696,144","1,361,682","4,646,426","1,624,713","1,792,402","1,916,090","5,333,205",,5.6%,6.0%,5.2%,5.6%,7.1%,11.1%,13.1%,10.3%,7.4%,4.3%,7.2%,6.2%,7.4%,9.7%,7.7%,8.3%,,,,,,
,Mexico Air (Source: I-94)," 	165,133 "," 	142,800 "," 	227,220 "," 	535,153 "," 	212,574 "," 	219,659 "," 	204,803 "," 	637,036 "," 	319,392 "," 	226,101 "," 	208,480 "," 	753,973 "," 	218,236 "," 	216,662 "," 	313,661 "," 	748,559 ",,6.6%,-0.3%,35.4%,14.9%,-10.9%,11.3%,12.6%,3.1%,7.3%,8.6%,1.4%,6.0%,6.8%,2.1%,3.7%,4.1%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9 Major World Regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Western Europe ,"694,914","794,064","1,140,059","2,629,037","1,316,871","1,373,677","1,254,363","3,944,911","1,619,579","1,549,953","1,380,691","4,550,223","1,550,617","1,102,990","1,044,902","3,698,509",,3.3%,4.1%,20.3%,10.3%,-0.3%,19.8%,12.1%,10.0%,14.9%,8.2%,13.1%,12.0%,17.8%,18.5%,3.1%,13.4%,,,,,,
,Asia ,"828,425","750,931","795,631","2,374,987","780,093","1,003,345","960,446","2,743,884","1,119,226","1,202,502","1,025,227","3,346,955","871,312","764,172","844,323","2,479,807",,-0.0%,27.3%,7.1%,9.9%,12.2%,17.7%,8.1%,12.6%,10.6%,6.1%,15.5%,10.3%,13.6%,13.5%,10.9%,12.6%,,,,,,
,South America ,"478,839","391,680","428,989","1,299,508","441,676","485,540","461,853","1,389,069","559,021","484,518","480,572","1,524,111","488,691","420,950","577,058","1,486,699",,2.8%,2.1%,10.2%,4.9%,-8.2%,3.5%,13.4%,2.3%,15.7%,3.1%,1.5%,6.8%,1.3%,-4.3%,-1.9%,-1.6%,,,,,,
,Caribbean ,"72,992","73,855","92,921","239,768","106,176","116,020","121,504","343,700","196,169","168,060","112,973","477,202","122,100","130,073","166,596","418,769",,12.2%,13.8%,21.6%,16.2%,1.0%,11.2%,10.0%,7.5%,8.2%,-0.7%,18.5%,7.0%,12.7%,12.2%,16.9%,14.2%,,,,,,
,Oceania ,"117,952","80,201","110,974","309,127","141,049","173,437","171,725","486,211","175,317","170,119","203,140","548,576","157,153","116,362","150,409","423,924",,8.3%,4.1%,20.1%,11.0%,5.8%,18.9%,7.9%,10.9%,15.2%,12.9%,11.5%,13.1%,13.9%,8.9%,3.4%,8.6%,,,,,,
,Central America ,"72,399","60,001","69,930","202,330","67,944","83,287","89,605","240,836","97,477","73,784","93,772","265,033","101,123","113,040","154,286","368,449",,6.9%,10.0%,23.9%,13.2%,-11.5%,10.8%,7.2%,2.3%,21.6%,13.3%,15.9%,17.2%,19.9%,20.5%,24.4%,21.9%,,,,,,
