,,Country of Residence (COR)-Based 2017 Monthly/Quarterly I-94 Arrivals Data (R),,,,,,,,,,,,,,,,,Percent Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018 Rank,I-94 Arrivals based on Country of Residence (COR),Jan-17,Feb-17,Mar-17,Q1-17,Apr-17,May-17,Jun-17,Q2-17,Jul-17,Aug-17,Sep-17,Q3-17,Oct-17,Nov-17,Dec-17,Q4-17,,Jan-17,Feb-17,Mar-17,Q1-17,Apr-17,May-17,Jun-17,Q2-17,Jul-17,Aug-17,Sep-17,Q3-17,Oct-17,Nov-17,Dec-17,Q4-17,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"TOTAL INTERNATIONAL (Overseas, Mexico, and Canada) ","5,767,752","4,851,902","5,793,626","16,413,280","6,700,656","6,253,889","6,076,727","19,031,272","7,603,790","8,088,032","6,465,402","22,157,224","6,631,863","6,053,633","6,654,093","19,339,589",,2.7%,-1.7%,-5.7%,-1.7%,10.9%,-3.8%,-1.3%,1.8%,0.1%,2.4%,-2.2%,0.2%,-1.4%,3.6%,4.9%,2.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL OVERSEAS ,"2,809,419","2,386,406","2,764,000","7,959,825","3,315,526","3,267,355","3,400,431","9,983,312","3,952,772","4,027,400","3,392,091","11,372,263","3,426,969","2,802,071","3,361,084","9,590,124",,4.8%,-1.4%,-5.4%,-0.8%,13.7%,1.0%,2.6%,5.4%,-0.4%,3.5%,-3.4%,0.0%,-0.2%,3.6%,7.4%,3.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Total Canada (Source: Stats Canada) ,"1,473,657","1,289,479","1,842,583","4,605,719","1,848,622","1,590,497","1,448,867","4,887,986","2,096,776","2,434,458","1,708,582","6,239,816","1,639,042","1,471,503","1,368,266","4,478,811",,8.7%,4.8%,2.5%,5.0%,14.9%,-5.9%,5.4%,4.6%,3.9%,4.0%,4.4%,4.1%,5.2%,4.7%,7.7%,5.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Canada Air (Source: Stats Canada) ,"778,546","736,362","928,910","2,443,818","842,062","652,020","590,592","2,084,674","612,068","675,988","618,787","1,906,843","689,041","707,972","689,791","2,086,804",,9.1%,4.9%,10.0%,8.1%,12.0%,2.0%,17.8%,10.2%,14.5%,7.5%,11.6%,11.0%,7.9%,7.1%,7.6%,7.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Total Mexico (Source: Banco de Mexico) ,"1,484,676","1,176,017","1,187,043","3,847,736","1,536,508","1,396,037","1,227,429","4,159,974","1,554,242","1,626,174","1,364,729","4,545,145","1,565,852","1,780,059","1,924,743","5,270,654",,-5.9%,-8.5%,-16.6%,-10.2%,1.3%,-11.3%,-16.1%,-8.6%,-3.4%,-2.2%,-6.8%,-4.1%,-9.6%,2.6%,-1.1%,-2.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mexico Air (Source: I-94),"148,548","141,425","167,796","457,769","243,522","199,463","194,795","637,780","271,617","204,182","195,709","671,508","207,027","217,086","324,845","748,958",,-9.9%,-5.5%,-27.7%,-16.2%,37.2%,-3.3%,-6.4%,7.8%,-6.8%,-2.7%,-10.9%,-6.8%,-3.5%,3.7%,7.7%,3.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9 Major World Regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
