date,count,avg_favorites_per_day
2017-01-01,6,21038.333333333332
2017-01-02,7,66845.28571428571
2017-01-03,10,57242.7
2017-01-04,10,58512.9
2017-01-05,6,70167.66666666667
2017-01-06,12,60422.583333333336
2017-01-07,8,72932.25
2017-01-08,6,46906.666666666664
2017-01-09,8,90775.875
2017-01-10,4,57033.5
2017-01-11,7,73519.57142857143
2017-01-12,6,91269.0
2017-01-13,8,78304.125
2017-01-14,3,77766.66666666667
2017-01-15,8,90822.0
2017-01-16,3,88497.66666666667
2017-01-17,13,60500.0
2017-01-18,8,71001.125
2017-01-19,8,96249.125
2017-01-20,13,143653.92307692306
2017-01-21,3,155840.33333333334
2017-01-22,4,237352.0
2017-01-23,1,177839.0
2017-01-24,4,123953.25
2017-01-25,8,139045.125
2017-01-26,11,88236.54545454546
2017-01-27,7,120219.57142857143
2017-01-28,5,93146.0
2017-01-29,7,138419.0
2017-01-30,7,153866.0
2017-01-31,3,153033.33333333334
2017-02-01,4,164940.5
2017-02-02,8,130351.0
2017-02-03,7,158037.57142857142
2017-02-04,9,152321.66666666666
2017-02-05,6,111879.0
2017-02-06,6,117501.66666666667
2017-02-07,5,106811.2
2017-02-08,11,102184.36363636363
2017-02-09,8,109414.375
2017-02-10,3,118789.0
2017-02-11,9,95931.22222222222
2017-02-12,9,90386.88888888889
2017-02-13,3,81503.66666666667
2017-02-14,6,76509.5
2017-02-15,11,90107.0
2017-02-16,6,109633.83333333333
2017-02-17,8,95239.0
2017-02-18,4,96131.75
2017-02-19,1,112115.0
2017-02-20,4,122465.25
2017-02-21,3,106377.0
2017-02-22,2,97985.0
2017-02-23,1,56246.0
2017-02-24,6,85131.0
2017-02-25,7,124706.14285714286
2017-02-26,4,103872.75
2017-02-27,2,80070.5
2017-02-28,1,82888.0
2017-03-01,3,100849.66666666667
2017-03-02,1,175684.0
2017-03-03,13,86993.61538461539
2017-03-04,7,125252.71428571429
2017-03-05,3,131662.66666666666
2017-03-06,4,90421.25
2017-03-07,8,96046.625
2017-03-08,6,91081.0
2017-03-09,4,58798.25
2017-03-10,3,14329.333333333334
2017-03-11,1,103623.0
2017-03-12,1,0.0
2017-03-13,5,63663.4
2017-03-14,2,81003.0
2017-03-15,7,87341.42857142857
2017-03-16,7,60466.28571428572
2017-03-17,9,28462.555555555555
2017-03-18,2,91101.0
2017-03-19,1,36626.0
2017-03-20,7,79965.71428571429
2017-03-21,4,61553.25
2017-03-22,1,89890.0
2017-03-23,7,64068.857142857145
2017-03-24,4,71565.75
2017-03-25,4,85341.0
2017-03-26,1,64422.0
2017-03-27,1,108475.0
2017-03-28,10,67640.8
2017-03-29,4,66949.5
2017-03-30,9,43429.0
2017-03-31,8,55997.875
2017-04-01,8,55463.375
2017-04-02,3,78727.0
2017-04-03,8,78293.5
2017-04-04,4,34058.0
2017-04-05,1,67325.0
2017-04-06,2,72062.5
2017-04-07,1,0.0
2017-04-08,5,82835.6
2017-04-09,2,67125.0
2017-04-10,3,80275.33333333333
2017-04-11,5,64037.2
2017-04-12,6,69835.5
2017-04-13,4,109970.25
2017-04-14,3,11187.666666666666
2017-04-16,5,105981.2
2017-04-17,8,54553.75
2017-04-18,7,54879.857142857145
2017-04-19,4,63072.25
2017-04-20,4,55047.5
2017-04-21,5,58142.8
2017-04-22,10,46222.1
2017-04-23,7,58486.28571428572
2017-04-24,7,45671.142857142855
2017-04-25,5,55348.4
2017-04-26,9,53618.666666666664
2017-04-27,12,54274.333333333336
2017-04-28,4,50281.0
2017-04-29,5,42423.4
2017-04-30,5,67624.4
2017-05-01,2,36775.0
2017-05-02,4,52613.25
2017-05-03,4,58612.75
2017-05-04,10,43695.3
2017-05-05,10,57092.6
2017-05-06,1,63688.0
2017-05-07,6,42390.0
2017-05-08,10,46950.6
2017-05-09,2,48665.5
2017-05-10,11,59970.36363636364
2017-05-11,6,75599.5
2017-05-12,9,76708.0
2017-05-13,4,41390.75
2017-05-14,1,135259.0
2017-05-15,1,55356.0
2017-05-16,6,72828.0
2017-05-17,1,69370.0
2017-05-18,4,81746.25
2017-05-19,3,67015.33333333333
2017-05-20,2,91714.0
2017-05-21,3,35330.333333333336
2017-05-22,2,33557.5
2017-05-23,4,97991.0
2017-05-24,2,84294.5
2017-05-25,4,44726.75
